ClassLoader.loadClass;Harness;java.lang.Class.forName0;;jdk.internal.loader.ClassLoaders$AppClassLoader;jdk.internal.loader.ClassLoaders$AppClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$LDPI;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$LDS;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$LPM;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$LPMD;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$LPMPI;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$LSR;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$MOV;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$MOVW;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$MUL;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$MULS;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$MULSU;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$NEG;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$NONE_class;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$NOP;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$OR;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$ORI;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$OUT;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$POP;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$PUSH;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$RCALL;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$REGIMMREG_class;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$REGIMM_class;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$REGREGIMM_class;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$REGREG_class;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$REG_class;java.lang.ClassLoader.defineClass1;;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
ClassLoader.loadClass;avrora.arch.legacy.LegacyInstr$RET;avrora.arch.legacy.LegacyArchitecture.getDisassembler;58;org.dacapo.harness.DacapoClassLoader;org.dacapo.harness.DacapoClassLoader
